,Score
Rocky,(8.977112808505623+0j)
Kendrick,(8.949895439811282+0j)
Balloon Day,(8.93366347505684+0j)
Mäjoras,(8.820462559617054+0j)
Panda,(8.619589585975504+0j)
R5,(8.619335297372738+0j)
Jeapie,(8.545123679931669+0j)
purple sku,(8.520251351849975+0j)
Knight,(8.476963760363244+0j)
Macchupichu,(8.394965115232782+0j)
Devil,(8.361681719946308+0j)
Kellner,(8.322115058481138+0j)
Bones,(8.248760937751634+0j)
prolificjuice,(8.20736559896127+0j)
Ralph,(8.046123088876229+0j)
quindelin,(8.03401511846791+0j)
mordo,(8.018231014062138+0j)
OG Swaglord,(7.977580512640902+0j)
Travioli,(7.961733230203443+0j)
Nyx,(7.905922389714073+0j)
Jawanga,(7.784535561780343+0j)
FF,(7.77613461729568+0j)
Vinodh,(7.745161758012429+0j)
deft,(7.719118772041465+0j)
mikey,(7.582352214249646+0j)
Joyboy,(7.5697014713674236+0j)
DSJ,(7.54324994475204+0j)
Jahseh,(7.486833764363098+0j)
RemolinoFeroz,(7.4460531496100435+0j)
Microsoft J,(7.444232631823365+0j)
Charlon,(7.370763603313707+0j)
Alain,(7.352993117219035+0j)
Wishblade,(7.334132482371835+0j)
NathanSandwich,(7.323095627666863+0j)
Redd,(7.257821269000576+0j)
5'10,(7.183953413090083+0j)
Sirmeris,(7.1695501709396225+0j)
KoDoRiN,(7.11929015146535+0j)
Marktmeister Andi,(7.096169839010752+0j)
42nd,(7.00079179655982+0j)
zetts,(6.939512698401511+0j)
Epic Murloc,(6.915540946734341+0j)
Blink,(6.8937232932807975+0j)
404Cray,(6.8884586521299225+0j)
Rookie Cookie,(6.845613820274263+0j)
Sandy,(6.791107973502136+0j)
Max,(6.764297219648283+0j)
deepz,(6.745529549646935+0j)
Pisces,(6.742539322569705+0j)
Reinstein,(6.725975055869645+0j)
Chef Rach,(6.664437982140429+0j)
TheRealThing,(6.638067511661461+0j)
CptNebula,(6.5919260749691695+0j)
Big Money,(6.566167698504261+0j)
yingling,(6.561600052530361+0j)
bobby big ballz,(6.53867080344331+0j)
LEGO,(6.50573394037162+0j)
Meerkat,(6.503451793567412+0j)
Swarm,(6.442425157775731+0j)
hdhr,(6.4398804776903855+0j)
Aaron,(6.342444602596126+0j)
Prince F. Abu,(6.269653262740945+0j)
Milo,(6.217081216283786+0j)
Gardex,(6.2074658924254145+0j)
Aiken,(6.084488253674685+0j)
skam,(6.051873609123275+0j)
Cpt Darling,(5.906302800268925+0j)
Cubs,(5.90209625083839+0j)
lochist,(5.900264117854436+0j)
Londo,(5.89775907481013+0j)
GirthDad,(5.880621554898844+0j)
Meelo,(5.84246345934541+0j)
Blandeezy,(5.812123924758012+0j)
JAM,(5.793742456807717+0j)
Bryan,(5.71596910855458+0j)
boriater,(5.656629985730124+0j)
Dragoid,(5.603494563167072+0j)
Willy P,(5.574939861808904+0j)
Jhib,(5.565350970424992+0j)
Vari,(5.560125649163982+0j)
