,Score
Hungrybox,(7015.479924495776+0j)
Plup,(3874.9745616193604+0j)
Armada,(3857.8817648217832+0j)
Leffen,(3840.1539395267805+0j)
Zain,(2122.3058538378505+0j)
Mang0,(2084.8309907196162+0j)
Mew2King,(2058.577739389245+0j)
Wizzrobe,(1469.3018178835755+0j)
aMSa,(1031.1442608472796+0j)
SFAT,(849.3121632114617+0j)
Axe,(843.8482588726152+0j)
Bananas,(595.6401960367114+0j)
Lucky,(497.8942678033577+0j)
S2J,(475.90975215995775+0j)
Swedish Delight,(448.68656559646473+0j)
ARMY,(427.38881808264176+0j)
Crush,(299.5121206931576+0j)
Westballz,(294.15204238143775+0j)
PewPewU,(264.0365319961158+0j)
n0ne,(259.91256108123406+0j)
Gahtzu,(244.56494398067312+0j)
Duck,(206.71826037873112+0j)
La Luna,(203.54082592202315+0j)
HugS,(201.6375125499689+0j)
ChuDat,(149.71411216819567+0j)
Shroomed,(148.46454189701342+0j)
Fiction,(136.8093196740216+0j)
Captain Faceroll,(135.4209704597056+0j)
Kalamazhu,(120.21130455851858+0j)
Rocky,(118.06150706015691+0j)
Colbol,(100.31050613562884+0j)
AbsentPage,(98.3034856198353+0j)
Spud,(96.83662221855286+0j)
Squid,(96.18427287931118+0j)
Venti,(95.93767894515831+0j)
Michael,(94.50568596365866+0j)
lloD,(88.77238371932097+0j)
Ice,(86.27865876426054+0j)
Jerry,(85.57482224780154+0j)
iBDW,(80.35893410767676+0j)
Professor Pro,(62.43645884775999+0j)
Captain Smuckers,(61.18474201107957+0j)
Nicki,(56.767474055161195+0j)
Overtriforce,(51.316351708680216+0j)
Hax$,(50.50366874858271+0j)
Cpt Darling,(50.14573462640302+0j)
Chillindude,(49.1628200579468+0j)
Tai,(46.6930709025266+0j)
Pricent,(46.20722031938092+0j)
EastCoastJeff,(46.06647137600113+0j)
Rishi,(46.03193745372937+0j)
MINT,(45.81784776640958+0j)
Hyprid,(45.45544754216121+0j)
Trif,(44.917983532716335+0j)
Fluff,(44.64967534587653+0j)
KJH,(43.9902236581226+0j)
dizzkidboogie,(38.91705217695852+0j)
Vanity Angel,(38.670372747734966+0j)
Tekk,(38.63436022739025+0j)
Sverre,(38.54148846396038+0j)
Humpe,(37.54098547301484+0j)
Moe,(35.921339428602906+0j)
Morsecode762,(35.40169903074781+0j)
Widl,(35.39937864535563+0j)
mayhem092,(32.7275308951093+0j)
Abate,(32.0389016089557+0j)
woof woof bark bark,(31.18856895940756+0j)
Smashdaddy,(31.001735499085+0j)
Zoler,(30.994216378073098+0j)
FA0,(29.688174656540514+0j)
voff3,(28.471487614891558+0j)
Eddy Mexico,(28.415256379873014+0j)
TimeMuffin,(28.178087494653155+0j)
SDJ,(27.83155792121146+0j)
Vinodh,(27.791804888952846+0j)
Ryse,(25.82099931043914+0j)
Cactuar,(25.014918790935788+0j)
SchlimmShady,(24.78604445764141+0j)
Davemon,(24.41035210912606+0j)
Stango,(23.714140725825196+0j)
Timi,(23.533863176226856+0j)
Kaese,(22.689535862832834+0j)
Luigi Ka-Master,(22.298423172997346+0j)
Rooster,(22.231010378173394+0j)
Vdogg,(22.217337268555582+0j)
Jim Morrison,(22.154988284268512+0j)
Djagof,(21.887994885614027+0j)
ShiftingShadows,(21.538151847866178+0j)
Stivo,(21.43500641129979+0j)
Kriz,(21.409566155511094+0j)
Fatman.spam,(20.932934811111988+0j)
C15,(20.871717166989967+0j)
Fuzzyness,(20.79419804529278+0j)
nebbii,(20.676624110772984+0j)
Daydee,(20.65891217057346+0j)
Spark,(20.091555994332424+0j)
Reno,(19.693075046060244+0j)
Kobobi,(19.63039113581642+0j)
Woli,(19.351011002366803+0j)
Guerrilla,(19.1027422304296+0j)
ASL,(18.84230732134639+0j)
Ryan Ford,(18.633655372626237+0j)
Focus,(18.25964501369875+0j)
Phade,(17.963985343502053+0j)
gLory,(17.738880473745272+0j)
DannyPhantom,(17.698323180323094+0j)
