,Score
Ginger,13382.19346186816
iBDW,12529.901189674374
Zain,12073.405484801844
n0ne,9964.363336791372
Hungrybox,8411.216644848366
Mang0,8175.414090874061
SFAT,5235.372535714242
Plup,5162.51708306899
lloD,5124.349342003886
Gahtzu,4915.417890362543
Axe,4737.162789970465
Michael,4606.408606218717
Fiction,4312.974104531595
Colbol,3713.5869313751036
bobby big ballz,3595.170251371583
Wizzrobe,3297.3859334673175
S2J,3169.8284088811515
Polish,2610.737982129967
Spark,2431.317956012341
LSD,2269.4940479094353
Kata,1996.518664381386
PewPewU,1965.391871145374
SFOP,1877.7136719378948
Darktooth,1819.6996713131614
Westballz,1714.345912725031
Answer,1606.696057980598
Captain Faceroll,1596.4228434872725
KJH,1591.9527609473034
Lucky,1449.472729242092
cliché,1315.5330856759683
Shroomed,1208.9011504596533
2saint,1201.2094780997334
Hax$,1122.8842167307334
leroydankins,993.6348625064384
Zeo,945.3154606438009
KoDoRiN,930.7726284181646
Nut,911.7002817177429
Dom,897.0312780551028
Chopsteezy,869.7818375145138
Midnight Blue,811.0368105318223
Pipe,798.0673437140812
beachbum709,786.5209940085671
A Rookie,786.0620913186015
Nox,753.0634873892801
mikehaze (but on b0xx),701.9894347771593
Joshman,689.954959993921
Vagab0nd,669.8044033562544
Kimchi,669.584413994014
Cantus,668.4290803087956
Ripn,665.5967633200838
Nexahs,662.1894265127346
Treeaye,657.5341835168846
Badboi,650.2731550674254
BasedFox,643.6399406565014
Magi,638.7660112238966
ZeldaFool,606.0968319480779
peab,601.4706497031655
D,600.9748978574021
Mahone,595.1324192264562
salami,592.0333676526081
Jerry,564.9665814769515
R2DLiu,563.7191960140036
Cilan,559.7244397879409
Busy Boi,551.1023809327595
Heartstrings,530.9551884767955
ARMY,527.6274599416054
sickø,515.3442066141452
compa,513.2188434239669
Pain,505.71591680848036
CardsNG,491.2533266745246
Neeco,486.54979183464684
Megaman,474.35948767749926
spite,467.8267366893851
bambi,465.82646767060254
Stanky,461.10649616190216
max,451.97126674868974
Cami,450.6124926258044
Mist,448.45636595747953
floss type R,448.01235929369244
DrewNG,446.67809526301824
Sock,446.3086676323955
Bren,437.8421434962876
EuO,432.16083826781903
Snacks!,422.99776511998095
Hoov,422.01237611244704
ScrubUp,413.31613677020636
Tourist,410.5158914469356
Galen The Wise,386.059968222811
Pawn,382.314199366162
Debgivemeanotherchance,382.101177145573
TimSin,379.7456903878701
Scubafins,379.2008649247434
Mo $,374.30960589554263
Mew2Kid,369.220816921956
TreyTheTrashman,368.25024612009764
noChill,367.77891831449085
July,356.06765195578475
Steech,354.52456029865533
DonB,352.2794611536281
assassin,341.0077487467187
scoop,339.5909834943513
Leeum,337.84011434751005
BEBO,335.78325768515924
doby,331.615850342683
Twin,331.3831545058141
Lumps,330.7480652482755
Enkianz,323.67521915808123
SquidTheCat,321.63684259241614
soup,320.4106750533199
