,Score
Hungrybox,3467.987892867336
Plup,1877.4425785561884
Leffen,1821.164683339372
Armada,1780.0053622992386
Zain,1213.2030064116934
Mang0,1181.8598077547117
Mew2King,1021.5378017236617
Wizzrobe,797.6901802364846
aMSa,551.4066568709252
SFAT,528.5249263869056
Axe,488.97302456026404
S2J,342.8594609504597
Swedish Delight,338.4732842843377
Lucky,326.17577966961534
ARMY,289.2931477860152
n0ne,280.6529151830888
PewPewU,262.2679996995083
Westballz,253.44453847465192
Bananas,220.93486902897553
Crush,181.02231156415868
Duck,179.32923572204527
Gahtzu,173.6232862242889
HugS,154.95669266073602
La Luna,140.13429336230087
Rishi,116.51264124228408
Shroomed,116.380225273535
KJH,105.47882579008453
Colbol,103.69929172218784
Kalamazhu,93.90905405609557
Captain Faceroll,86.36237843528588
lloD,86.21534501940044
ChuDat,77.62061449869063
yuyu,76.85280447229323
AbsentPage,75.4809958870667
Ice,73.29987893940077
AKO,73.1853773713398
iBDW,68.80493510544208
Jerry,65.0014756433944
Fiction,64.61962261782372
Hyprid,53.626236362379146
Michael,52.9804599233212
Cpt Darling,50.20022137676837
EastCoastJeff,48.83638280628142
Ryan Ford,48.37744839340277
Rocky,47.36695781408362
Overtriforce,45.483877854494
Venti,44.01527645349939
Squid,42.817233911399335
wollywog,39.427490999022325
King Kuuchie,37.39124238647295
Ginger,34.47375810501802
Spud,33.878730387678914
Nicki,33.484966059661915
42nd,33.043624123219544
Syrox,32.440196640708095
Tai,32.03785656268793
Captain Smuckers,31.155989232070493
2saint,30.262427760025403
Hax$,30.141483886425135
Chillindude,27.85138887981858
Nintendude,27.088693214657543
dizzkidboogie,26.637934249800566
woof woof bark bark,25.59357565833667
Professor Pro,25.240756462990586
Pricent,25.085821072238183
Moe,22.85857209060429
MINT,20.912510913512918
Trif,20.737489698498976
Darktooth,20.24513524928164
Fluff,19.98211770732693
Daydee,19.469628091711126
Widl,18.977424311593126
Android,18.529515032335695
Humpe,17.796514952738217
Vanity Angel,17.652503067110167
SchlimmShady,17.225845348851216
Timi,17.048841913863917
mayhem092,16.990504459807127
Zamu,16.750887061261558
Focus,15.726291366141854
Eekim,15.269626151163207
Zoler,15.19089781657556
Smashdaddy,14.94376962982308
Fuzzyness,14.911685207679142
Luigi Ka-Master,14.646996611698398
voff3,14.644475242821414
Stango,14.289175891963207
Sverre,14.15546796511492
Magi,13.908255556645056
Eddy Mexico,13.755235973738493
Vinodh,13.744046673103746
TimeMuffin,13.694340900164761
Kaese,13.58806886711022
Bladewise,13.506002096076273
Tekk,13.17319009996324
C15,12.87942326704881
Morsecode762,12.59849520019944
Rik,12.411442472237376
Fatman.spam,12.402480486746164
Cactuar,12.17009638294224
Kriz,12.135924428649016
Papa,12.02567134065778
Abate,11.959703673812797
FA0,11.815955448767586
Djagof,11.743613747650173
Vdogg,11.640774980320241
GranmasGotGame,11.539527420476892
nebbii,11.428224446515758
Jim Morrison,11.326724364027124
gLory,11.25519673047873
Kobobi,11.220327590235899
Frenzy,11.164116860517467
Stivo,11.154114528444023
Faust,11.152886662353866
ShiftingShadows,11.148237804230668
Kalvar,11.09850475505603
FatGoku,11.032381242119804
Alpha Dash,10.800394323878976
Pasi,10.785115925027334
Pipsqueak,10.726236791944515
Ryse,10.644012846183326
Cob,10.469711157864694
Wisp,10.468091860316134
Rooster,10.35551432722929
Zorc,10.33571415294042
Surfero,10.322907986206111
Guerrilla,10.31404315804129
Reno,10.184594661106004
SDJ,10.123066645095353
Jakenshaken,10.00931027599485
Dirtboy,9.990477765364286
Yort,9.947793648381218
Woli,9.945902689776272
Fauster,9.85203391289545
CC,9.792278433127786
Salevits,9.550178058488806
Fat Tino,9.456818286906874
Phade,9.408903446764105
DaShizWiz,9.390198477134817
yogui,9.342630069667068
Niklas2912,9.305689506859979
Alox,9.298987216590351
Mawacate,9.256315425334941
Paju,9.249151916664646
Clemens,9.21970619319833
Random-Ness,9.149463965284978
vortex,9.057667051997555
