chaos6,(49.23150495847868+0j)
PRZ,(48.23609239233609+0j)
Elysian,(48.10696065723266+0j)
soccermom69,(48.00781591402561+0j)
Dublat,(47.89959539529706+0j)
TheRealThing,(47.815763428428966+0j)
oquinn,(47.45522924889831+0j)
Greg Turbo,(47.083345980480765+0j)
Kels,(46.653550545135694+0j)
Sverre,(46.10572156124039+0j)
Laurster,(45.718343315320936+0j)
Coin,(45.26260034007905+0j)
Kingu,(45.161865294525995+0j)
nebbii,(44.911729272282685+0j)
Nerin,(43.83653186131903+0j)
Pisces,(43.680777362115734+0j)
Keenan,(43.654814619284096+0j)
nino,(43.337605497527775+0j)
Nishi,(43.25152235364009+0j)
La Luna,(42.90473953687947+0j)
bonfire10,(42.460663765710976+0j)
Jonjon,(42.1453314002741+0j)
Darrell,(41.72778700370461+0j)
Jamrun,(41.569990397431965+0j)
epicdripgod,(41.40940846569595+0j)
Bab Activated,(41.09561672132108+0j)
Tauntmaster9000,(40.868551283689506+0j)
Humpe,(40.80844586242925+0j)
Pain,(40.75479001632378+0j)
Aglet,(40.526607325003695+0j)
Simon,(40.32666722975895+0j)
Femboy Cumslut,(40.19511161137544+0j)
vortex,(40.00484982416458+0j)
Stiffff,(39.776708807214305+0j)
tambo,(39.65111518712253+0j)
Anvil,(38.77455642935419+0j)
boeingboeing,(38.46018828459388+0j)
Poppmaister6000,(37.89231966543902+0j)
Loadspiller,(37.61076679569311+0j)
23,(37.40863542980911+0j)
Nation,(36.8984525576231+0j)
GanonGod69Swag,(36.22567720981835+0j)
Vino,(36.21960595215685+0j)
MOJOE,(35.467096563389966+0j)
Zuraco,(35.41261320686177+0j)
NathanSandwich,(34.733836233889264+0j)
Nangs,(34.73371994677627+0j)
max,(34.675598538915054+0j)
Niklas2912,(34.64333544487377+0j)
Jizznessasusual,(34.266259965008594+0j)
futtbucker,(34.212440302019324+0j)
Twotran,(33.429214983310864+0j)
ckyulmiqnudaetr,(33.35701364320974+0j)
JCubez,(33.31676815106522+0j)
Charon,(33.30074912239047+0j)
Mahie,(32.984161287209226+0j)
aria,(32.93698584115341+0j)
Venelox,(32.900286187275384+0j)
ASSFUCKER9000,(32.58788633884919+0j)
abbson,(32.57486648468433+0j)
Mirko,(32.05446037415329+0j)
Fess,(31.970162027200956+0j)
4tilt,(31.93826918087141+0j)
Spud,(31.57210011187644+0j)
Palika,(30.687642470553186+0j)
GnomeDome,(30.380924420772278+0j)
Fatman.spam,(30.189142520980695+0j)
Tuner_Ace,(30.070495818664227+0j)
MegaXmas,(29.95637928273942+0j)
QuickScopeKid,(29.66654004612655+0j)
NintendOrk,(28.749172091818767+0j)
Knut,(28.495934097766842+0j)
CPU0,(28.435943466443376+0j)
Ghost Rider,(28.348533685815283+0j)
Neenor,(28.206575368300108+0j)
Pickle Nick,(27.860820349137384+0j)
I<3KodorinsMarth,(27.65895454087871+0j)
Ke-Lai,(27.12128025110559+0j)
Okameed,(26.925110672873963+0j)
Papa,(26.900464584235543+0j)
Dream,(26.805744366829117+0j)
Psylo,(26.77375503335182+0j)
Din,(26.65437517284345+0j)
Rasen,(26.59637118251274+0j)
maXy,(26.197656794598362+0j)
To Gimp A Butterfly,(26.140174232591384+0j)
CDay,(25.962671325414497+0j)
Zack Fair,(25.93670129582+0j)
Joshuwasha,(25.657921592628988+0j)
Logos,(25.638360255636655+0j)
TURBOTURBOTURBOTURBO,(25.428391295096887+0j)
Tirno,(25.33933113373036+0j)
Feiniks,(25.33101160092492+0j)
