,0
bonfire10,3.266258701
Cell,3.250687784
Chef Rach,3.235084741
Brownie,3.233288136
Max,3.228209625
Molten,3.220178041
Adin,3.199101704
Aolong,3.17307518
mattmog,3.170406885
Reinstein,3.158884385
Fishbait,3.152180228
Spence,3.122641005
Aiken,3.113162219
fortissimis,3.084562299
FrozenLight,3.075764743
Devil,3.072700178
Microsoft J,3.064462018
JeffWa,3.054323935
Aaron,3.045725214
Jim Morrison,3.036762453
GirthDad,3.012197093
Soupo,3.009885373
Jawanga,2.966457448
Pi#374,2.958227548
epikfaal,2.949423764
Casper,2.902563744
dudutsai,2.895265234
YeehawDaniels,2.891043303
.Dempt,2.886796986
Chad Dickem,2.872525685
purple sku,2.851395087
quindelin,2.849173554
CptNebula,2.817631494
RemolinoFeroz,2.811391034
BOR,2.779795554
Warriorknight,2.773076549
Docmatic,2.751791716
lacoot,2.746776067
Blandeezy,2.727964942
Memo,2.71484578
Braixen,2.677715502
Ampp,2.675839655
MILF,2.666241574
Mox,2.66411513
Raistlin,2.634178388
Jimmy,2.633946716
Ossify,2.619423298
Dezno,2.617025393
Answer,2.60402956
Hyunnies,2.603009372
Pixel,2.590257376
Phazon,2.58906421
Stacked,2.570377955
L3375,2.567284511
icer,2.553625566
nosgov,2.543778763
Unsure,2.5428667
Neeco,2.530977542
Palpa,2.527305429
Violence,2.526228131
Timochun,2.502604362
skullbro,2.489813875
Cpt Darling,2.482768199
Kendrick,2.479235436
ASL,2.471026212
Liquid,2.46597546
Khryke,2.45387644
Typhoon,2.435240373
GranmasGotGame,2.430391337
Holiday,2.426160121
Fumsa,2.418149144
Enderdxg,2.415194894
voorhese,2.405561997
Shaeman111,2.396441295
Churze,2.320957402
Nyx,2.319128704
ghettowarmachine420,2.314983363
Epic Murloc,2.303802816
Balloon Day,2.298054051
God's Only Son,2.288403915
RJW,2.251406778
Jaden,2.239366251
chicken pizza,2.232257032
KringeKid,2.223269562
Fuller,2.214736247
KittheShadow,2.210843562
Kaysic,2.189717777
Twisty,2.189662643
Nijia,2.188415763
Wassabi,2.168693294
RanD,2.161010796
Remark,2.149226293
SillyG,2.143987896
BiscuitTricks,2.139575846
Rats!,2.136016327
Lilac,2.129512598
Pancakes,2.127692752
Panayiotis,2.126480899
Coro,2.123946356
KittieSE,2.071147664
Dekar,2.063810551
Asa,2.061335012
DarkGenex,2.059722259
Wndy,2.056974939
Gianni,2.049766719
Ginta,2.049435063
blankshooter744,2.046196824
ShreksWhisper,2.038368549
Caesar,2.019664313
Parky,2.009026063
